trial,best_iter,mae,r2,learning_rate,num_leaves,max_depth,min_child_samples,colsample_bytree,subsample,reg_alpha,reg_lambda,path_smooth,min_split_gain
2,20000,8.531,0.5756,0.00803134117264377,44,6,39,0.728034992108518,0.9140703845572055,0.039721107273819126,0.34890188454913873,1.184829137724085,0.023225206359998862
43,20000,8.5352,0.5717,0.009346780320613845,41,6,32,0.7199129654887009,0.9992062925899448,0.03823471007107535,0.05628879848958456,1.0705549707261721,0.16989839235762322
30,20000,8.5363,0.5804,0.011269236267279657,112,7,26,0.8277069731593024,0.6235508144716273,0.14692036748483053,0.17969982243767668,1.0840273593734184,0.17955010222366838
11,20000,8.5384,0.5782,0.005332027177446606,65,8,39,0.508989607013434,0.7865791524545793,9.394008801148024,9.926384821223353,0.4316720814257712,0.4862363636332606
42,20000,8.5409,0.5785,0.007294052534617947,35,9,43,0.8138287182865582,0.6551329514249963,0.010153545197233809,0.04253430603355665,1.9929638090390493,0.2108902428168255
1,20000,8.5411,0.5765,0.003101053071209221,125,9,29,0.5909124836035503,0.6733618039413735,0.08179499475211674,0.3752055855124282,0.8638900372842315,0.14561457009902096
15,20000,8.5417,0.5786,0.004551905129099208,78,7,45,0.6622786850153903,0.6083654265933616,0.18401469285836597,2.495261495555089,0.6559706429369243,0.33253056620303834
29,20000,8.5544,0.5779,0.01320099813708714,40,9,46,0.8900869078943,0.6399430692900809,0.01765288893611645,0.02384177142153245,1.2562024592322172,0.11061212501499185
36,19999,8.5692,0.578,0.010193399494231689,58,10,54,0.6961802179987904,0.6577110784026389,0.09167163440697648,0.02704154870738342,1.132025934405571,0.2661495288891653
39,20000,8.5736,0.5762,0.008286914958241222,119,9,50,0.8778419343825465,0.7491599565718774,0.08837587714979879,0.016364019805737373,0.8889242359599014,0.1560876612379542
7,20000,8.5852,0.5724,0.010396740026860469,50,5,68,0.8534286719238086,0.8916028672163949,2.059733535743719,0.016677615430197915,0.7169314570885452,0.05793452976256486
9,20000,8.5883,0.5716,0.003636755006057994,100,9,52,0.8854835899772805,0.7975182385457563,0.3699972431463809,0.19170041589170655,0.05083825348819038,0.053945713496652226
49,20000,8.5993,0.5659,0.003020666750230823,44,9,21,0.8053885576048622,0.7723516396266313,0.07300397148415876,0.04597907718209936,0.5065700560890092,0.12490521359169195
5,20000,8.618,0.57,0.014283407485879536,106,10,74,0.7989499894055425,0.9687496940092467,0.01842797040686454,0.03872118032174583,0.09045457782107613,0.16266516538163217
3,20000,8.6343,0.5702,0.007975848251366933,47,5,77,0.9828160165372797,0.9233589392465844,0.08200518402245831,0.019634341572933336,1.3684660530243138,0.22007624686980065
4,20000,8.693,0.5629,0.003651088165121634,79,5,75,0.6293899908000085,0.8650089137415928,0.08612579192594885,0.3632486956676606,1.0934205586865593,0.09242722776276352
